lam      chi    loggf
3199.935 2.450 -2.129         
3200.050 2.851 -7.547         
3200.315 2.692 -1.633        
3200.469 2.469 -0.289         
3200.472 2.469 -0.064         
3200.491 3.634 -4.035      
3200.784 0.087 -3.566     
3201.287 2.453 -4.189      
3201.756 2.808 -6.710         
3201.889 2.450 -0.937         
3202.082 2.833 -4.759         
3202.220 2.858 -6.747        
3202.556 3.047 -1.177     
3202.655 1.608 -3.305         
3202.943 2.876 -2.365         
3203.745 2.882 -6.209         
3203.771 2.832 -3.564        
3204.309 3.267 -2.441         
3204.443 1.608 -4.830        
3204.850 2.876 -6.278         
3205.207 2.808 -6.694         
3205.398 2.482 -0.345     
3205.548 2.876 -4.657         
3205.778 2.559 -3.180      
3205.924 2.692 -3.440         
3205.930 2.876 -4.999         
3206.369 2.885 -5.428         
3206.850 2.609 -3.609     
3207.013 2.858 -3.441        
3207.075 2.399 -1.577      
3207.650 2.832 -3.421        
3207.759 2.845 -5.153        
3207.857 2.851 -4.352         
3208.187 1.485 -4.800         
3208.478 3.430 -0.175         
3209.103 2.176 -2.237         
3209.297 3.417 -0.028         
3209.302 2.808 -1.010         
3209.699 2.865 -4.864         
3210.189 2.609 -2.070     
3210.229 2.425 -0.709      
3210.237 2.882 -6.553         
3210.829 2.469 -0.368     
3211.133 1.485 -4.424         
3211.320 2.882 -7.201         
3211.485 2.482 -0.766         
3211.608 2.851 -1.369     
3211.687 3.332  0.378        
3211.797 2.865 -6.440         
3211.877 3.397  0.137       
3211.987 2.399 -0.190     
3212.872 2.885 -5.140         
3213.671 2.759 -2.446        
3213.756 3.018 -1.819     
3213.816 3.573 -5.023         
3214.013 2.449 -0.042     
3214.026 3.368  0.250       
3214.062 2.449 -0.039     
3214.396 0.087 -2.619     
3214.949 2.845 -2.488        
3215.064 2.588 -2.939      
3215.642 2.808 -5.459         
3215.938 2.469 -0.319     
3215.988 2.728 -4.283         
3216.055 3.301 -3.337         
3216.636 2.759 -4.945        
3217.096 2.424 -8.303     
3217.377 2.399 -0.679     
3217.442 2.609 -3.517      
3217.578 2.588 -4.065      
3217.625 2.851 -4.983         
3218.127 2.876 -6.819         
3219.170 2.279 -4.300      
3219.350 2.832 -2.734        
3219.372 2.692 -3.389         
3219.402 3.634 -5.174      
3219.582 2.449 -0.188     
3219.589 2.559 -2.432      
3219.662 2.865 -4.329         
3219.766 0.110 -4.076     
3219.805 2.425 -0.406     
3220.020 1.485 -6.014         
3220.056 3.237 -5.296        
3221.916 2.482 -1.244     
3221.924 2.833 -6.265         
3222.045 2.949 -3.368     
3222.061 2.559 -2.700      
3222.067 2.399  0.171      
3222.193 2.759 -3.891        
3222.524 3.332 -5.191         
3223.080 3.301 -4.629         
3223.267 1.485 -3.275      
3223.441 2.832 -2.822        
3223.442 2.865 -2.712         
3223.482 3.301 -2.522         
3223.558 2.882 -4.815         
3223.841 0.990 -4.160         
3224.041 3.640 -2.636     
3224.072 3.695 -2.987     
3224.534 2.424 -5.828     
3224.924 2.832 -2.011        
3225.051 3.237 -3.210         
3225.419 2.833 -5.014         
3225.607 2.433 -2.185     
3225.609 3.642 -2.136     
3225.787 2.399  0.379      
3226.014 2.559 -1.980       
3226.713 0.087 -4.223     
3226.726 3.071 -1.959         
3227.061 2.482 -1.452     
3227.169 2.559 -2.969      
3227.796 2.425 -0.266     
3227.802 2.940 -6.370         
3227.996 2.832 -1.624        
3228.142 2.876 -4.975         
3228.249 2.469 -0.759     
3228.597 3.237 -1.452      
3228.902 2.482 -1.559         
3229.120 0.121 -3.106     
3229.173 3.695 -4.532      
3229.478 2.865 -5.481         
3229.482 3.695 -3.831     
3229.502 2.865 -4.182         
3229.566 2.833 -1.955         
3229.616 2.728 -2.823        
3229.656 1.608 -4.508         
3229.780 2.588 -3.309      
3229.951 2.588 -2.858      
3229.991 3.047 -0.739      
3230.088 0.958 -3.513         
3230.156 2.469 -1.782     
3230.207 2.469 -0.793     
3230.705 2.998 -8.753         
3230.964 2.449 -0.520  
3231.124 2.876 -4.940         
3231.279 1.557 -5.242         
3231.581 1.485 -3.055         
3232.164 2.609 -3.978      
3232.645 2.176 -5.261        
3232.701 2.832 -3.830         
3232.895 2.833 -4.705         
3232.969 3.301 -3.091         
3233.052 3.237 -0.007      
3233.278 2.279 -2.686      
3233.968 2.425 -0.532     
3234.152 2.832 -5.108        
3234.597 2.609 -6.360      
3234.613 0.052 -2.899     
3234.705 2.609 -5.162      
3235.329 2.728 -2.443         
3235.589 2.692 -1.920         
3235.808 2.832 -2.806        
3235.986 2.833 -5.465         
3236.222 0.052 -2.511     
3236.599 2.882 -4.516         
3236.613 2.588 -4.409      
3237.233 1.557 -2.937        
3237.661 2.851 -5.836         
3238.009 2.876 -4.788         
3238.259 3.038 -8.761         
3238.315 3.047 -1.835        
3238.544 3.038 -7.815         
3239.013 2.279 -2.812      
3239.043 2.279 -2.389      
3239.277 2.885 -6.335         
3239.344 2.845 -3.129        
3239.433 2.425 -0.379     
3239.457 2.482 -1.497     
3239.953 2.865 -6.473         
3240.014 3.047 -2.563         
3240.112 2.450 -0.793         
3240.667 2.279 -2.675     
3241.191 2.940 -9.661         
3241.430 2.482 -2.747         
3241.500 1.011 -4.860         
3241.595 2.453 -7.263    
3242.206 2.851 -4.433         
3242.256 2.588 -3.831      
3243.108 2.453 -2.166     
3243.395 3.332 -0.780         
3243.419 2.832 -2.921        
3243.508 2.882 -5.599         
3243.971 2.588 -3.956      
3244.188 2.425 -0.275      
3244.584 2.176 -4.771        
3245.378 2.851 -3.450         
3245.543 2.845 -3.808        
3245.791 3.642 -2.359     
3245.961 2.453 -3.463     
3245.966 0.915 -2.766     
3246.005 0.110 -2.877     
3246.047 2.692 -2.514         
3246.480 2.588 -1.432        
3246.961 2.198 -1.287     
3246.990 2.609 -3.959      
3247.037 2.609 -4.076      
3247.210 2.608 -1.728     
3247.279 2.469 -1.265         
3247.970 2.940 -6.722         
3248.204 2.449 -0.673     
3248.540 2.876 -4.163         
3248.739 2.851 -4.169         
3249.024 2.728 -2.180         
3249.192 2.559 -1.914      
3249.507 1.557 -3.762         
3250.372 2.279 -2.041      
3250.396 2.858 -3.034        
3250.512 2.588 -3.607      
3250.624 2.176 -1.518     
3250.759 3.267 -1.304      
3251.007 2.851 -4.854         
3251.069 3.695 -3.587       
3251.234 2.198 -4.762        
3251.666 2.588 -3.595      
3251.861 2.851 -3.891         
3252.115 2.559 -4.697      
3252.914 2.559 -1.416      
3252.922 2.876 -4.127         
